"COLLEGE:  L&S","","","","","","","","","","","","","","",""
"SUBJECT:  SLAVIC (SLAVIC LANGUAGES) (888)","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","COMB","ENRL","",""
"SESS","CAT","COMP","SECT","OFFER","Time","M
T","W
R","F","S","X","FACILITY","","","EMPLID","Instructor role / name"
"","","","","","","","","","","","","ENRN","TOT","",""
"A1","277","LEC","001","1","12:05 - 12:55","M","W","F","","","0482 0499","5","0","0000710873","P / EWA MIERNOWSKA"
"A1","278","LEC","001","1","12:05 - 12:55","M","W","F","","","0482 0499","5","2","0000710873","P / EWA MIERNOWSKA"
"A1","304","LEC","001","1","11:00 - 11:50","M
T","W
R","","","","0482 0155","6","1","0006316528","P / KRZYSZTOF BOROWSKI"
"A1","305","LEC","001","1","12:05 - 12:55","M","W","F","","","0482 0499","5","2","0000710873","P / EWA MIERNOWSKA"
"A1","306","LEC","001","1","12:05 - 12:55","M","W","F","","","0482 0499","5","0","0000710873","P / EWA MIERNOWSKA"
"A1","316","LEC","001","1","13:00 - 14:15","T","R","","","","0482 0367","","5","0000556159","P / ANNA TUMARKIN"
"A1","331","LEC","001","1","12:05 - 12:55","M","W","F","","","0482 0499","5","0","0000710873","P / EWA MIERNOWSKA"
"A1","332","LEC","001","1","12:05 - 12:55","M","W","F","","","0482 0499","5","1","0000710873","P / EWA MIERNOWSKA"
"A1","420","LEC","001","1","12:05 - 12:55","M","W","F","","","0056 0222","35","0","0003040651","P / ANDREW REYNOLDS"
"A1","424","LEC","001","1","11:00 - 11:50","M","W","F","","","0482 0104","42","0","0006177770","P / KIRILL OSPOVAT"
"A1","434","LEC","001","1","12:05 - 12:55","M","W","F","","","0482 0391","","12","0003973321","P / SARA KARPUKHIN"
"A1","452","LEC","001","1","12:05 - 12:55","M
T","W
R","","","","0057 1339","4","1","0003039898","P / DAVID DANAHER"
"A1","465","LEC","001","1","11:00 - 11:50","M","W","F","","","0482 0479","","3","0003973321","P / SARA KARPUKHIN"
"A1","467","LEC","001","1","12:05 - 12:55","M
T","W
R","","","","0057 2335","8","1","0006316528","P / KRZYSZTOF BOROWSKI"
"A1","555","LEC","001","1","08:50 - 09:40","M","W","F","","","0482 0486","","6","0004616864","P / KAREN EVANS-ROMAINE"
"A1","699","IND","007","1","-","","","","","","","","3","0004616864","P / KAREN EVANS-ROMAINE"
"A1","708","LEC","001","1","14:30 - 17:00","","","F","","","0482 0382","","4","0003040651","P / ANDREW REYNOLDS"
"A1","755","LEC","001","1","09:55 - 10:45","M","W","F","","","0482 0483","3","1","0006302959","P / OKSANA STOYCHUK"
"A1","799","IND","007","1","-","","","","","","","","1","0004616864","P / KAREN EVANS-ROMAINE"
"A1","801","LEC","001","1","14:30 - 17:00","M","","","","","0482 1411","","4","0006177770","P / KIRILL OSPOVAT"
"A1","820","LEC","001","1","14:30 - 16:00","","R","","","","0482 0578","","2","0000556159","P / ANNA TUMARKIN"
"A1","900","SEM","001","1","14:30 - 17:00","T","","","","","0482 0486","","2","0006238255","P / LUKASZ WODZYNSKI"
"CME","900","SEM","002","1","14:30 - 17:00","","W","","","","0482 0582","","4","0003040651","P / ANDREW REYNOLDS"
"A1","991","IND","002","1","-","","","","","","","","5","0003127390","P / IRINA SHEVELENKO"
"A1","991","IND","005","1","-","","","","","","","","1","0003039898","P / DAVID DANAHER"
"A1","991","IND","013","1","-","","","","","","","","1","0003040651","P / ANDREW REYNOLDS"
"A1","991","IND","016","1","-","","","","","","","","2","0006177770","P / KIRILL OSPOVAT"
"A1","991","IND","022","1","-","","","","","","","","1","0006238255","P / LUKASZ WODZYNSKI"
